p0,iteration,residual
0.8,1,0.9499999999922593
0.8,25,0.27738957306532797
0.8,50,0.07694497524536459
0.8,75,0.021343733832836165
0.8,100,0.005920529215508452
0.8,125,0.0016422930714092843
0.8,150,0.0004555549739251319
0.8,175,0.00012636619972639096
0.8,200,3.5052666191859316e-05
0.8,225,9.723244108528206e-06
0.8,250,2.697126532780203e-06
0.8,275,7.481547790177956e-07
0.8,300,2.0753033425080503e-07
0.8,325,5.75667513658118e-08
0.8,350,1.59684176992414e-08
0.8,375,4.429473676736961e-09
0.8,400,1.228691814958438e-09
0.8,405,9.507381548701233e-10
0.85,1,0.9499999964681265
0.85,25,0.2773895473401282
0.85,50,0.07694496097355952
0.85,75,0.021343727894560516
0.85,100,0.005920527019220856
0.85,125,0.0016422923098780018
0.85,150,0.0004555547204354582
0.85,175,0.0001263661176906794
0.85,200,3.505264018599519e-05
0.85,225,9.723235994130164e-06
0.85,250,2.697124031669773e-06
0.85,275,7.48154011631641e-07
0.85,300,2.0753009977170223e-07
0.85,325,5.75666838642519e-08
0.85,350,1.5968396382959327e-08
0.85,375,4.429463018595925e-09
0.85,400,1.2286882622447592e-09
0.85,405,9.507346021564445e-10
0.9,1,0.9499988644744097
0.9,25,0.27738128421549746
0.9,50,0.07694037683303989
0.9,75,0.021341820533972822
0.9,100,0.005919821587209384
0.9,125,0.0016420477141849688
0.9,150,0.00045547330370609984
0.9,175,0.0001263397699062807
0.9,200,3.504428762468592e-05
0.9,225,9.720629506659861e-06
0.9,250,2.6963206956054364e-06
0.9,275,7.479088992567995e-07
0.9,300,2.074559297682299e-07
0.9,325,5.7544394138631105e-08
0.9,350,1.5961738597525255e-08
0.9,375,4.427487709790512e-09
0.9,400,1.2281020644877572e-09
0.9,405,9.502763020918792e-10
