p0,base_max_observations,comparison_max_observations,cutoff_label,cutoff_observations,states_compared,policy_disagreement_count,policy_disagreement_rate,product2_share_base,product2_share_comparison,mean_abs_q_gap_diff,max_abs_q_gap_diff,mean_abs_D_diff,max_abs_D_diff,initial_product_base,initial_product_comparison,initial_q_gap_base,initial_q_gap_comparison
0.1,100,150,all_common_states,100,5151,25,0.0048534265191225,0.08270238788584741,0.08328479906814211,0.0057150973899819475,1.1448662012499193,0.015039729973636605,3.012805792762949,1,1,-0.15611652422119704,-0.15611653982296048
0.1,100,150,safe_interior,90,4186,5,0.0011944577161968467,0.08910654562828475,0.08838987099856666,0.0012398890729891307,0.11432288235309462,0.0032628659815501964,0.3008496904028797,1,1,-0.15611652422119704,-0.15611653982296048
0.15,100,150,all_common_states,100,5151,27,0.0052417006406523005,0.09493302271403611,0.09668025626092021,0.005323472256769893,0.8945163560147442,0.014009137517815242,2.35399041056512,1,1,-0.0002742853994313066,-0.00027466247708218816
0.15,100,150,safe_interior,90,4186,2,0.00047778308647873863,0.10463449593884376,0.10463449593884376,0.0015069752341516714,0.10007318344866434,0.003965724300398872,0.2633504827596447,1,1,-0.0002742853994313066,-0.00027466247708218816
0.2,100,150,all_common_states,100,5151,28,0.0054358377014172,0.10017472335468841,0.10211609396233741,0.004584196182342234,0.7511799015805738,0.012063674164058291,1.9767892146857218,2,2,0.13604255176213798,0.1360420557348121
0.2,100,150,safe_interior,90,4186,4,0.0009555661729574773,0.11275680840898232,0.11227902532250358,0.0014515882867340486,0.08025734050305733,0.0038199691756157046,0.21120352763962558,2,2,0.13604255176213798,0.1360420557348121
0.25,100,150,all_common_states,100,5151,23,0.0044651523975927,0.09959231217239371,0.1025043680838672,0.003545859782537259,0.6692183292139191,0.009331209954045308,1.76110086635242,2,2,0.2542478508769399,0.2542522341939595
0.25,100,150,safe_interior,90,4186,3,0.000716674629718108,0.11395126612517917,0.11466794075489728,0.0010645429813832393,0.07193920572308521,0.0028014288983768338,0.18931369927127584,2,2,0.2542478508769399,0.2542522341939595
0.3,100,150,all_common_states,100,5151,15,0.0029120559114735,0.0918268297417977,0.093185789167152,0.002544562988340048,0.6121411797039951,0.006696218390368531,1.6108978413263015,2,2,0.3712169078744747,0.37121101896567055
0.3,100,150,safe_interior,90,4186,4,0.0009555661729574773,0.10750119445771619,0.10797897754419493,0.0005751092724995742,0.0320515068514462,0.0015134454539462838,0.08434607066169963,2,2,0.3712169078744747,0.37121101896567055
0.35,100,150,all_common_states,100,5151,8,0.0015530964861192001,0.07532517957678121,0.07377208309066201,0.002849813778511394,0.5558503357526128,0.007499509943450939,1.4627640414542453,2,2,0.4817268880558849,0.4816682977692057
0.35,100,150,safe_interior,90,4186,8,0.0019111323459149545,0.0926899187768753,0.09077878643096035,0.000948447106670743,0.024362066775172053,0.002495913438607113,0.06411070203992786,2,2,0.4817268880558849,0.4816682977692057
0.4,100,150,all_common_states,100,5151,4,0.0007765482430596001,0.05629974762182101,0.055523199378761406,0.004318434417540153,0.5081073426369471,0.01136430109879008,1.3371245858867091,2,2,0.5778309347149904,0.5777362495821023
0.4,100,150,safe_interior,90,4186,4,0.0009555661729574773,0.0692785475394171,0.06832298136645963,0.0020546690805850064,0.041410161470018636,0.005407023896276501,0.10897410913163164,2,2,0.5778309347149904,0.5777362495821023
0.45,100,150,all_common_states,100,5151,0,0.0,0.040574645699864104,0.040574645699864104,0.0060496710151337185,0.47206889293159016,0.015920186881930788,1.2422865603462885,2,2,0.6534447852657053,0.6533908039627825
0.45,100,150,safe_interior,90,4186,0,0.0,0.04992833253702819,0.04992833253702819,0.0033047831429067155,0.06135025075512601,0.008696797744491284,0.16144802830296712,2,2,0.6534447852657053,0.6533908039627825
