p0,base_max_observations,comparison_max_observations,cutoff_label,cutoff_observations,states_compared,policy_disagreement_count,policy_disagreement_rate,product2_share_base,product2_share_comparison,mean_abs_q_gap_diff,max_abs_q_gap_diff,mean_abs_D_diff,max_abs_D_diff,initial_product_base,initial_product_comparison,initial_q_gap_base,initial_q_gap_comparison
0.1,100,150,all_common_states,100,5151,37,0.007183071248301301,0.1809357406328868,0.1807416035721219,0.030037955546839065,4.81089101461565,0.0681132778839887,10.909049919763378,2,2,0.14097735308839532,0.1409772305788053
0.1,100,150,safe_interior,90,4186,5,0.0011944577161968467,0.18872431915910176,0.18752986144290493,0.0030202914596436795,0.8500220349074432,0.006848733468579689,1.927487607499872,2,2,0.14097735308839532,0.1409772305788053
0.15,100,150,all_common_states,100,5151,42,0.008153756552125802,0.23005241700640652,0.22966414288487672,0.0329684816198861,3.7494897199756627,0.07475846172309784,8.502244262983359,2,2,0.2562778358843403,0.25627397089976256
0.15,100,150,safe_interior,90,4186,7,0.0016722408026755853,0.2429526994744386,0.241280458671763,0.0056435826012324955,0.9654118339811344,0.01279723945857719,2.1891424806828486,2,2,0.2562778358843403,0.25627397089976256
0.2,100,150,all_common_states,100,5151,44,0.0085420306736556,0.267909143855562,0.26829741797709183,0.03491727737712348,3.2206699132884404,0.07917749972136846,7.303106379338864,2,2,0.4045747924974421,0.4045726376692613
0.2,100,150,safe_interior,90,4186,10,0.0023889154323936935,0.28475871954132825,0.28332537028189203,0.008099520595473695,1.0429344051033684,0.018366259853681798,2.3649306238171555,2,2,0.4045747924974421,0.4045726376692613
0.25,100,150,all_common_states,100,5151,37,0.007183071248301301,0.2974179770918268,0.29955348476024074,0.03624606798522868,2.886385332671776,0.0821906303519926,6.545091457305617,2,2,0.5941813571341186,0.594179989655359
0.25,100,150,safe_interior,90,4186,5,0.0011944577161968467,0.3179646440516006,0.3167701863354037,0.010302130702439065,1.0460333730320315,0.023360840595100022,2.3719577619773995,2,2,0.5941813571341186,0.594179989655359
0.3,100,150,all_common_states,100,5151,31,0.006018248883711901,0.3211026985051446,0.3247913026596777,0.03772789346608228,2.6345075389558055,0.08555077883465381,5.973939997632215,2,2,0.8384353006911027,0.8382650978955226
0.3,100,150,safe_interior,90,4186,2,0.00047778308647873863,0.3442427138079312,0.3447204968944099,0.012868591236227368,0.9781290080146796,0.029180478993712948,2.2179796100106133,2,2,0.8384353006911027,0.8382650978955226
0.35,100,150,all_common_states,100,5151,34,0.006600660066006601,0.33857503397398564,0.34401087167540284,0.0393548228935943,2.4340955410687357,0.08923996120996455,5.519491022831605,2,2,1.155186544184616,1.1544410744932776
0.35,100,150,safe_interior,90,4186,6,0.001433349259436216,0.36335403726708076,0.364787386526517,0.01572967925863179,0.9566143098628075,0.035668206935673206,2.169193446400924,2,2,1.155186544184616,1.1544410744932776
0.4,100,150,all_common_states,100,5151,32,0.0062123859444768005,0.3519704911667637,0.3577946029897107,0.040747885312100024,2.327198773619794,0.09239883290725649,5.277094724761435,2,2,1.5675319202812616,1.5656884115286047
0.4,100,150,safe_interior,90,4186,4,0.0009555661729574773,0.378404204491161,0.37935977066411847,0.018495973303429794,0.9153076806094971,0.04194098254745994,2.075527620429699,2,2,1.5675319202812616,1.5656884115286047
0.45,100,150,all_common_states,100,5151,29,0.005629974762182101,0.35895942535430014,0.3642011259949524,0.04178510372576222,2.221649298570621,0.0947508020992339,5.037753511498005,2,2,2.103396695181793,2.099748816662199
0.45,100,150,safe_interior,90,4186,0,0.0,0.3862876254180602,0.3862876254180602,0.021027395052364013,0.858734003587875,0.04768116791919255,1.9472426385212538,2,2,2.103396695181793,2.099748816662199
0.5,100,150,all_common_states,100,5151,27,0.0052417006406523005,0.36245389244806836,0.36769559308872063,0.042193735067866785,2.131444423703213,0.09567740378201094,4.8332073099846085,2,2,2.7917527935759097,2.7853384153923173
0.5,100,150,safe_interior,90,4186,0,0.0,0.38987099856665075,0.38987099856665075,0.02310802946250017,0.7961644286723502,0.052399159778912005,1.8053615162638286,2,2,2.7917527935759097,2.7853384153923173
0.55,100,150,all_common_states,100,5151,30,0.005824111822947,0.3642011259949524,0.36886041545331005,0.04167144943057269,2.0484247102308952,0.09449308260900831,4.644953991453287,2,2,3.651974368782504,3.6415044096362266
0.55,100,150,safe_interior,90,4186,2,0.00047778308647873863,0.39202102245580506,0.39154323936932633,0.024494397097360267,0.7236836402254028,0.05554285056090755,1.6410059869056761,2,2,3.651974368782504,3.6415044096362266
0.6,100,150,all_common_states,100,5151,40,0.0077654824305960005,0.36206561832653855,0.36517181129877696,0.03976812288945391,1.988862469767037,0.09017714940919272,4.509892221693969,2,2,4.665582220297779,4.649587064932746
0.6,100,150,safe_interior,90,4186,12,0.002866698518872432,0.3901098901098901,0.38724319159101767,0.024743785491881914,0.631851914031337,0.056108357124449,1.432770780116405,2,2,4.665582220297779,4.649587064932746
0.65,100,150,all_common_states,100,5151,37,0.007183071248301301,0.3595418365365948,0.3628421665695981,0.03575420805673529,1.9239468076398456,0.08107530171595288,4.3626911737865015,2,2,5.714824554431214,5.693094798106355
0.65,100,150,safe_interior,90,4186,10,0.0023889154323936935,0.387482083134257,0.38509316770186336,0.02315375001847009,0.5111287370601865,0.052502834509002345,1.159022079501561,2,2,5.714824554431214,5.693094798106355
0.7,100,150,all_common_states,100,5151,41,0.007959619491360901,0.35430013589594256,0.35837701417200546,0.02877908979360437,1.8593305135437284,0.06525870701497585,4.21616896495177,2,2,6.484741950379881,6.463457251056049
0.7,100,150,safe_interior,90,4186,10,0.0023889154323936935,0.38270425226946964,0.38031533683707597,0.01884121998483425,0.3577286043329959,0.042723854840893874,0.8111759735442048,2,2,6.484741950379881,6.463457251056049
0.75,100,150,all_common_states,100,5151,51,0.009900990099009901,0.34498155697922733,0.35488254707823724,0.01942451836825061,1.7946266726829663,0.044046526912132865,4.069448237376349,2,2,6.483451891930315,6.4653026578408195
0.75,100,150,safe_interior,90,4186,11,0.0026278069756330625,0.37338748208313427,0.3760152890587673,0.011969930944062929,0.25258199244024837,0.027142700553430644,0.5727482821774288,2,2,6.483451891930315,6.4653026578408195
0.8,100,150,all_common_states,100,5151,98,0.019025431954960204,0.3211026985051446,0.3401281304601048,0.021204441544021953,1.7263612704236166,0.04808263388667116,3.914651406856276,2,2,5.523540375003879,5.5014320712361755
