p0,iteration,residual
0.15,750,2.5471489806250247e-07
0.15,775,1.5371146133702496e-07
0.15,800,9.27594570043766e-08
0.15,825,5.59770754193778e-08
0.15,850,3.3780203523292585e-08
0.15,875,2.0385165555580897e-08
0.15,900,1.2301740071052336e-08
0.15,925,7.423679448947951e-09
0.15,950,4.479936421830644e-09
0.15,975,2.703494317302102e-09
0.15,1000,1.6314842810061236e-09
0.15,1025,9.845564363786252e-10
0.2,1,0.95
0.2,25,0.5849913196836276
0.2,50,0.35302162865588826
0.2,75,0.21303610174293652
0.2,100,0.1285597735714603
0.2,125,0.07758128901874528
0.2,150,0.04681757161360878
0.2,175,0.028252753202721692
0.2,200,0.01704954007699655
0.2,225,0.010288796095423436
0.2,250,0.006208925555483802
0.2,275,0.0037468675825635955
0.2,300,0.0022611024332448437
0.2,325,0.0013644955688860705
0.2,350,0.0008234249497718338
0.2,375,0.0004969079148224864
0.2,400,0.00029986640054602276
0.2,425,0.00018095879638480028
0.2,450,0.00010920225117416749
0.2,475,6.589970700332515e-05
0.2,500,3.9768148894836486e-05
0.2,525,2.399867523905641e-05
0.2,550,1.4482354075084913e-05
0.2,575,8.73958990155188e-06
0.2,600,5.274034265312366e-06
0.2,625,3.1826936748302614e-06
0.2,650,1.9206433989893412e-06
0.2,675,1.1590405577521778e-06
0.2,700,6.994401076099166e-07
0.2,725,4.220874387783624e-07
0.2,750,2.5471489806250247e-07
0.2,775,1.5371146844245231e-07
0.2,800,9.275947121523131e-08
0.2,825,5.59770754193778e-08
0.2,850,3.3780203523292585e-08
0.2,875,2.0385172661008255e-08
0.2,900,1.2301740071052336e-08
0.2,925,7.423679448947951e-09
0.2,950,4.479936421830644e-09
0.2,975,2.703494317302102e-09
0.2,1000,1.6314842810061236e-09
0.2,1025,9.845635418059828e-10
0.25,1,0.95
0.25,25,0.5849913196836276
0.25,50,0.35302162865588116
0.25,75,0.21303610174294363
0.25,100,0.1285597735714603
0.25,125,0.07758128901874528
0.25,150,0.04681757161360878
0.25,175,0.028252753202721692
0.25,200,0.01704954007699655
0.25,225,0.010288796095430541
0.25,250,0.006208925555483802
0.25,275,0.0037468675825778064
0.25,300,0.0022611024332448437
0.25,325,0.001364495568893176
0.25,350,0.0008234249497718338
0.25,375,0.0004969079148224864
0.25,400,0.0002998664005531282
0.25,425,0.0001809587963919057
0.25,450,0.00010920225116706206
0.25,475,6.589970700332515e-05
0.25,500,3.9768148894836486e-05
0.25,525,2.3998675246161838e-05
0.25,550,1.448235408219034e-05
0.25,575,8.73958990155188e-06
0.25,600,5.274034265312366e-06
0.25,625,3.1826936748302614e-06
0.25,650,1.920643391883914e-06
0.25,675,1.1590405506467505e-06
0.25,700,6.99440114715344e-07
0.25,725,4.220874387783624e-07
0.25,750,2.5471489806250247e-07
0.25,775,1.5371146844245231e-07
0.25,800,9.27594570043766e-08
0.25,825,5.59770754193778e-08
0.25,850,3.378021062871994e-08
0.25,875,2.0385172661008255e-08
0.25,900,1.2301747176479694e-08
0.25,925,7.423686554375308e-09
0.25,950,4.479936421830644e-09
0.25,975,2.7035014227294596e-09
0.25,1000,1.631477175578766e-09
0.25,1025,9.845564363786252e-10
0.3,1,0.95
0.3,25,0.5849913196836276
0.3,50,0.35302162865588116
0.3,75,0.21303610174294363
0.3,100,0.1285597735714532
0.3,125,0.07758128901873818
0.3,150,0.04681757161360167
0.3,175,0.028252753202721692
0.3,200,0.01704954007699655
0.3,225,0.010288796095430541
0.3,250,0.0062089255554766964
0.3,275,0.003746867582570701
0.3,300,0.0022611024332377383
0.3,325,0.001364495568893176
0.3,350,0.0008234249497789392
0.3,375,0.0004969079148224864
0.3,400,0.00029986640054602276
0.3,425,0.0001809587963919057
0.3,450,0.00010920225116706206
0.3,475,6.589970700332515e-05
0.3,500,3.976814888773106e-05
0.3,525,2.399867523905641e-05
0.3,550,1.448235408219034e-05
0.3,575,8.73958990155188e-06
0.3,600,5.274034265312366e-06
0.3,625,3.1826936748302614e-06
0.3,650,1.9206433847784865e-06
0.3,675,1.1590405577521778e-06
0.3,700,6.994401076099166e-07
0.3,725,4.220874387783624e-07
0.3,750,2.5471489806250247e-07
0.3,775,1.5371146133702496e-07
0.3,800,9.27594570043766e-08
0.3,825,5.597706831395044e-08
0.3,850,3.3780203523292585e-08
0.3,875,2.0385172661008255e-08
0.3,900,1.2301740071052336e-08
0.3,925,7.423679448947951e-09
0.3,950,4.479936421830644e-09
0.3,975,2.7035014227294596e-09
0.3,1000,1.631477175578766e-09
0.3,1025,9.845493309512676e-10
0.35,1,0.95
0.35,25,0.5849913196836276
0.35,50,0.3530216286558847
0.35,75,0.21303610174293652
0.35,100,0.1285597735714603
0.35,125,0.07758128901874528
0.35,150,0.04681757161360167
0.35,175,0.028252753202714587
0.35,200,0.01704954007699655
0.35,225,0.010288796095430541
0.35,250,0.006208925555490907
0.35,275,0.0037468675825635955
0.35,300,0.0022611024332448437
0.35,325,0.0013644955688860705
0.35,350,0.0008234249497718338
0.35,375,0.000496907914815381
0.35,400,0.00029986640054602276
0.35,425,0.00018095879639901113
0.35,450,0.00010920225117416749
0.35,475,6.589970700332515e-05
0.35,500,3.9768148894836486e-05
0.35,525,2.3998675231950983e-05
0.35,550,1.4482354067979486e-05
0.35,575,8.73958990155188e-06
0.35,600,5.274034265312366e-06
0.35,625,3.182693667724834e-06
0.35,650,1.920643391883914e-06
0.35,675,1.1590405506467505e-06
0.35,700,6.994401076099166e-07
0.35,725,4.2208744588378977e-07
0.35,750,2.547148909570751e-07
0.35,775,1.5371146133702496e-07
0.35,800,9.275946410980396e-08
0.35,825,5.59770754193778e-08
0.35,850,3.378019641786523e-08
0.35,875,2.0385172661008255e-08
0.35,900,1.2301740071052336e-08
0.35,925,7.423679448947951e-09
0.35,950,4.479936421830644e-09
0.35,975,2.7035014227294596e-09
0.35,1000,1.631477175578766e-09
0.35,1025,9.845564363786252e-10
0.4,1,0.95
0.4,25,0.5849913196836276
0.4,50,0.35302162865588116
0.4,75,0.21303610174294363
0.4,100,0.12855977357146742
0.4,125,0.07758128901874528
0.4,150,0.04681757161360167
0.4,175,0.028252753202714587
0.4,200,0.017049540076989445
0.4,225,0.010288796095430541
0.4,250,0.006208925555483802
0.4,275,0.0037468675825635955
0.4,300,0.0022611024332448437
0.4,325,0.001364495568878965
0.4,350,0.0008234249497789392
0.4,375,0.000496907914815381
0.4,400,0.0002998664005531282
0.4,425,0.00018095879637769485
0.4,450,0.00010920225116706206
0.4,475,6.589970700332515e-05
0.4,500,3.976814888062563e-05
0.4,525,2.3998675231950983e-05
0.4,550,1.4482354067979486e-05
0.4,575,8.73958990155188e-06
0.4,600,5.274034265312366e-06
0.4,625,3.1826936748302614e-06
0.4,650,1.9206433847784865e-06
0.4,675,1.1590405435413231e-06
0.4,700,6.994401005044892e-07
0.4,725,4.2208744588378977e-07
0.4,750,2.547148909570751e-07
0.4,775,1.5371146844245231e-07
0.4,800,9.27594570043766e-08
0.4,825,5.59770754193778e-08
0.4,850,3.378019641786523e-08
0.4,875,2.0385165555580897e-08
0.4,900,1.2301740071052336e-08
0.4,925,7.423672343520593e-09
0.4,950,4.479936421830644e-09
0.4,975,2.7034872118747444e-09
0.4,1000,1.631477175578766e-09
0.4,1025,9.845493309512676e-10
0.45,1,0.95
0.45,25,0.5849913196836276
0.45,50,0.35302162865588116
0.45,75,0.21303610174293652
0.45,100,0.1285597735714603
0.45,125,0.07758128901873818
0.45,150,0.046817571613594566
0.45,175,0.028252753202714587
0.45,200,0.017049540076989445
0.45,225,0.010288796095423436
0.45,250,0.0062089255554766964
0.45,275,0.0037468675825635955
0.45,300,0.0022611024332448437
0.45,325,0.001364495568878965
0.45,350,0.0008234249497647284
0.45,375,0.000496907914815381
0.45,400,0.0002998664005531282
0.45,425,0.00018095879638480028
0.45,450,0.00010920225116706206
0.45,475,6.589970700332515e-05
0.45,500,3.976814888773106e-05
0.45,525,2.3998675224845556e-05
0.45,550,1.4482354067979486e-05
0.45,575,8.739589894446453e-06
0.45,600,5.2740342724177935e-06
0.45,625,3.1826936748302614e-06
0.45,650,1.920643391883914e-06
0.45,675,1.1590405506467505e-06
0.45,700,6.994401005044892e-07
0.45,725,4.220874387783624e-07
0.45,750,2.547148909570751e-07
0.45,775,1.5371146844245231e-07
0.45,800,9.27594570043766e-08
0.45,825,5.597706120852308e-08
0.45,850,3.3780203523292585e-08
0.45,875,2.038515845015354e-08
0.45,900,1.2301732965624979e-08
0.45,925,7.423672343520593e-09
0.45,950,4.479943527258001e-09
0.45,975,2.7034872118747444e-09
0.45,1000,1.631477175578766e-09
0.45,1025,9.845493309512676e-10
0.5,1,0.95
0.5,25,0.5849913196836276
0.5,50,0.3530216286558847
0.5,75,0.21303610174293652
0.5,100,0.1285597735714532
0.5,125,0.07758128901874528
0.5,150,0.04681757161360167
0.5,175,0.02825275320270748
0.5,200,0.017049540076989445
0.5,225,0.01028879609541633
0.5,250,0.0062089255554766964
0.5,275,0.0037468675825635955
0.5,300,0.002261102433230633
0.5,325,0.0013644955688860705
0.5,350,0.0008234249497718338
0.5,375,0.000496907914815381
0.5,400,0.00029986640054602276
0.5,425,0.00018095879637769485
0.5,450,0.00010920225117416749
0.5,475,6.589970700332515e-05
0.5,500,3.9768148894836486e-05
0.5,525,2.3998675231950983e-05
0.5,550,1.4482354075084913e-05
0.5,575,8.73958990155188e-06
0.5,600,5.2740342724177935e-06
0.5,625,3.182693667724834e-06
0.5,650,1.920643391883914e-06
0.5,675,1.1590405577521778e-06
0.5,700,6.994401005044892e-07
0.5,725,4.220874387783624e-07
0.5,750,2.547148909570751e-07
0.5,775,1.5371146844245231e-07
0.5,800,9.27594570043766e-08
0.5,825,5.59770754193778e-08
0.5,850,3.3780203523292585e-08
0.5,875,2.0385165555580897e-08
0.5,900,1.2301740071052336e-08
0.5,925,7.423679448947951e-09
0.5,950,4.479943527258001e-09
0.5,975,2.703494317302102e-09
0.5,1000,1.631477175578766e-09
0.5,1025,9.845493309512676e-10
0.55,1,0.95
0.55,25,0.5849913196836276
0.55,50,0.35302162865588116
0.55,75,0.21303610174293652
0.55,100,0.1285597735714532
0.55,125,0.07758128901874528
0.55,150,0.04681757161360167
0.55,175,0.02825275320270748
0.55,200,0.017049540076989445
0.55,225,0.01028879609541633
0.55,250,0.0062089255554766964
0.55,275,0.00374686758255649
0.55,300,0.0022611024332448437
0.55,325,0.001364495568878965
0.55,350,0.0008234249497647284
0.55,375,0.0004969079148082756
0.55,400,0.00029986640053891733
0.55,425,0.00018095879637769485
0.55,450,0.00010920225116706206
0.55,475,6.589970699621972e-05
0.55,500,3.976814888773106e-05
0.55,525,2.3998675231950983e-05
0.55,550,1.4482354067979486e-05
0.55,575,8.739589887341026e-06
0.55,600,5.274034258206939e-06
0.55,625,3.1826936606194067e-06
0.55,650,1.920643377673059e-06
0.55,675,1.1590405435413231e-06
0.55,700,6.994401005044892e-07
0.55,725,4.220874387783624e-07
0.55,750,2.547148909570751e-07
0.55,775,1.5371146133702496e-07
0.55,800,9.275944989894924e-08
0.55,825,5.597706120852308e-08
0.55,850,3.378018931243787e-08
0.55,875,2.038515845015354e-08
0.55,900,1.2301732965624979e-08
0.55,925,7.423679448947951e-09
0.55,950,4.479936421830644e-09
0.55,975,2.7034872118747444e-09
0.55,1000,1.6314700701514084e-09
0.55,1025,9.8454222552391e-10
0.6,1,0.95
0.6,25,0.5849913196836276
0.6,50,0.35302162865588116
0.6,75,0.21303610174293652
0.6,100,0.1285597735714461
0.6,125,0.07758128901873818
0.6,150,0.046817571613594566
0.6,175,0.02825275320270748
0.6,200,0.01704954007698234
0.6,225,0.01028879609541633
0.6,250,0.0062089255554766964
0.6,275,0.00374686758255649
0.6,300,0.002261102433230633
0.6,325,0.0013644955688718596
0.6,350,0.0008234249497647284
0.6,375,0.0004969079148082756
0.6,400,0.00029986640053891733
0.6,425,0.00018095879637769485
0.6,450,0.00010920225115995663
0.6,475,6.589970700332515e-05
0.6,500,3.976814888062563e-05
0.6,525,2.3998675231950983e-05
